,RunningBudgetGapMean,RunningBudgetGapMedian,RunningBudgetGap5thPercentile,RunningBudgetGap95thPercentile,IncrementalGapMean,IncrementalGapMedian,IncrementalGap5thPercentile,IncrementalGap95thPercentile
2025,27429182.85143575,27246653.09563166,23798784.168606177,31946352.549485028,9529182.851435754,9346653.095631659,5898784.168606177,14046352.549485026
2026,37777654.716043465,34977319.55090761,30163530.78472414,49169207.06334505,10348906.426982388,7902772.136942655,5995968.850124389,17889773.89410674
2027,48523056.850245506,43503844.92157853,37308499.8112163,67772762.41455476,10745895.64270179,8492650.445786238,6311951.103824479,19220563.949421167
2028,59771554.39498205,52959853.96958077,45119433.398178905,87843543.69258255,11252020.240094591,9115927.687800527,6689035.936447948,20551068.218159348
2029,71691963.30178908,64050158.290504396,53456429.31253783,109390959.52860996,11920659.450993406,9625090.315195471,7178222.597098661,21917029.975335214
2030,84286531.75204727,77145625.46731693,62550454.7651151,129867095.92427762,12629063.422816249,10167810.01456964,7657646.598401958,23215419.728322607
2031,97588810.03719324,91188671.22077775,72089118.61014405,147810583.79197884,13329511.324492842,10728256.921615183,8150955.757065791,24186762.424801935
2032,111561836.62638664,106162491.37298086,82197279.68005985,163954833.08224878,14031355.969502807,11346314.009521574,8713289.410744393,25483885.59009658
2033,126419458.92240922,120706055.62244797,92930158.43403952,186030868.36402074,14876268.381280407,12123007.094467819,9281010.222393418,26679060.10204053
2034,142038583.9909823,135473613.90708223,104026650.6474971,205760954.63147163,15723312.690165255,12877752.697183192,9847352.684952766,28016564.198456734
2035,158488561.77804136,152559851.79605174,115931381.7638068,229262646.88510516,16609388.764381213,13704030.4835518,10520784.57796058,29444876.144217275
2036,175803730.38784534,170269481.6932205,128287602.06608686,250668921.5963547,17507113.344145764,14489061.90918994,11136589.963433612,31030135.717171516
2037,193956553.5051874,187513929.40444115,141373884.79426932,276066641.0051426,18422277.636405107,15333398.17794776,11877954.568543652,32683443.21962748
2038,213045375.20217496,205332019.046579,155324659.85774356,302723633.1161657,19432028.50935847,16255875.2839607,12589521.480613172,34359435.745199144
2039,233225873.70074832,225023564.41196197,169986928.5566358,329019581.5277028,20513983.938942794,17170170.03116584,13365833.812029561,36131444.989233084
2040,254499107.20179164,246560402.4015945,185429175.07780036,358490863.55545783,21641748.362015344,18215340.85572183,14168408.098013118,37936509.46560815
2041,276651376.64006644,267617069.04610783,201611314.15005153,386015400.7799351,22774188.70177928,19264295.022099465,15049459.657902509,39910752.55360988
2042,300321580.9425632,290116286.2864667,218800403.87925804,416011963.66630113,24024315.03452892,20455390.41236195,15909416.185335705,41798210.859473445
2043,324869570.8521596,313438110.43807226,236791726.97103426,451213141.92924565,25269282.174912613,21611130.84194219,16820402.130254216,43515334.91511688
2044,350888575.97495306,339403913.06662035,256147462.6640781,483595013.5019009,26677495.16589369,22877279.429538548,17894062.391711902,45738773.201299064
2045,378282023.30612034,367380022.6868518,276382401.7045418,517836631.92924416,28158059.80148251,24107728.9869709,18888156.421338767,47972957.040780574
2046,406910476.4546258,395203004.16190696,297938836.1834618,556194987.2052653,29669275.627780452,25465315.232714444,19951690.834274594,50753076.11432291
2047,437423647.36508197,424406516.72685957,320682428.8905457,598054955.2191861,31311052.242508132,26930231.916288525,21349519.71871919,52903329.12732931
2048,469099936.3802179,455106460.9280162,344098740.83905905,639175953.359764,33062958.008169517,28424638.253138006,22553569.374584496,55749133.68121977
2049,502731164.9904648,487248846.4125612,369324848.87159276,682359987.5093935,34776164.998659536,30048318.26044914,23823745.06489168,58774271.27977948
2050,538304089.3985311,522319022.28592193,396429825.5763911,733190074.8168526,36595604.89845277,31630521.513139307,25263249.073708627,61947777.577639
2051,575670278.5634052,557098000.1542634,424790967.5071142,782881441.5598968,38668083.8307158,33526699.019874662,26682291.52296595,65033639.27488055
2052,614580525.088797,595947044.5163178,454348672.9409239,828238523.2440782,40667236.030007586,35333103.396268785,28202018.029171586,67519668.54975003
2053,656378633.8277451,636183580.8174298,486878997.0960871,888568700.5502878,42617342.13416023,37293863.45051336,29739006.335918736,70652725.04695545
2054,699497543.9175829,677950748.6124024,520061548.3355378,940830169.8854709,44977620.7720387,39539732.103663564,31525579.63533004,74174506.62540872
2055,741761940.9503242,718163186.4284868,554847350.250852,992356109.457388,47188520.49497125,41631447.03685188,33187453.207542755,77765536.46033566
2056,790627256.6223055,763885071.3215187,595218361.9327561,1060060546.7531209,50044933.97365595,44057762.91099781,35678005.79197703,80744068.12981367
2057,843442356.321894,816214479.655566,634885223.4970701,1134411841.8722758,52831205.52298525,46640464.2031132,37526513.65140653,85734963.89637628
2058,898863865.2451961,871294022.4008129,678420854.3226451,1209849996.7786462,55868506.61288644,49608898.78646916,39652440.82550834,90630675.65544052
2059,953965523.293922,921718606.3984854,723759349.5699567,1287688706.735164,58916318.61261864,52052963.276822686,41942445.14998573,95413426.89024432
