Year,Expenditures,Revenue,CostToContinue,RevenueIncrease,IncrementalGap,RunningBudgetGap,GapAsPercentageOfExpenditures,HealthInsurance,HealthInsuranceDelta,HealthInsuranceCostToContinuePortion,HealthInsuranceOverallPortion,Assessor,Attorney,Civil_Rights,Clerk,Employee_Assistance_Program,Finance,Human_Resources,Information_Technology,Common_Council,Mayor,Municipal_Court,Building_Inspection,Community_Development_Division,Economic_Development_Division,PCED_Office_of_the_Director,Planning_Division,Library,Fire_Department,Office_of_the_Independent_Monitor,Police_Department,Public_Health,Engineering_Division,Parks_Division,Streets_Division,Metro_Transit,Traffic_Engineering,Transportation_Department,Direct_Appropriation
2025,355070105.8039221,329288152.93,13581256.803922117,5699302.930000007,7881953.87392211,25781953.87392211,0.07261088290028983,27901251.935970917,1953769.3598220907,0.1438577731081459,0.0785795578954727,3553232.5668832995,3420703.3722375333,2807194.6604167894,3954951.1599043775,526027.4308189312,5596425.62103459,2209344.255275,9941522.638335332,1172738.335352469,1620694.4758277535,342043.0963983466,5863295.142039254,16074146.604865994,2599836.3952055788,731723.1206922481,4076415.7438487555,21550900.41266203,73470433.95024101,527612.3032729449,94627875.8058081,10729567.68,6036825.584385492,17344145.650266156,28615826.64768073,16354000.0,10213680.216785455,629470.2936839815,10479472.64
2026,369218221.9538509,335112857.29829997,14148116.149928808,5824704.368299961,8323411.781628847,34105365.65555096,0.09237183764948045,29999383.19868566,2098131.2627147436,0.1482975712441618,0.08125109058792696,3706340.049007246,3569775.5324244644,2932052.129726991,4105008.07554317,550811.0955471159,5870657.977528111,2327597.869295137,10345670.201931123,1217112.6668687009,1705454.048749342,373873.7915671832,6106478.298818537,16568795.732389808,2703166.018648608,761369.4180413319,4236727.196197242,22386511.9017823,76500471.94423246,546473.2187784506,98376406.53955877,11158750.3872,6151534.769066881,18102781.982336286,29706416.625057556,17008160.0,10647275.157855164,653897.780098957,10898651.5456
2027,383958809.3221158,341065988.97201955,14740587.368264854,5953131.673719585,8787455.694545269,42892821.350096226,0.11171203865806349,32252388.736123834,2253005.537438173,0.15284367448536612,0.08399960608552215,3866399.462434246,3725258.4185415097,3062192.5403717877,4260868.920097872,576681.7167899671,6156252.190367149,2450902.957304539,10765230.02282064,1263238.1672376152,1793796.157096629,407158.47871438356,6360562.785074718,17078894.15735628,2810892.7185828956,792291.630826599,4403563.266311184,23256840.965596963,79663839.56661963,566029.1171365228,102286014.86979279,11605100.402688,6271194.465761721,18893767.653755896,30840961.08453368,17688486.400000002,11098417.291733816,679376.3071447667,11334597.607424
2028,399318769.49983126,347150659.06306374,15359960.17771548,6084670.091044188,9275290.086671293,52168111.43676752,0.13064277319623857,34671537.59941452,2419148.863290686,0.15749707911355348,0.08682671651733909,4033756.949683206,3887448.3938021613,3197858.860552686,4422769.895294403,603691.6900368555,6453725.484496627,2579493.0376062696,11200873.480105605,1311187.1097406156,1885881.83456461,441971.568080276,6626080.17883242,17605005.221665658,2923220.357186364,824549.4501381784,4577210.151344202,24163497.086505506,82966889.07804714,586307.5235469105,106364131.17433344,12069304.41879552,6396039.389350884,19718625.619147412,32021390.479663532,18396025.856000002,11567899.662164535,705954.0374253052,11787981.511720961
2029,415326366.40825164,353370066.84377426,16007596.908420384,6219407.780710518,9788189.127709866,61956300.564477384,0.14917497557469409,37268909.47252287,2597371.8731083497,0.16225870053874664,0.08973403204526824,4208777.881985258,4056657.071089115,3339306.5727967997,4590957.732562889,631896.2430371663,6763621.627486357,2713613.6859940635,11653305.831437517,1361035.0244995742,1981880.1315782196,478391.737534818,6903590.950800401,18147717.067692008,3040363.3889355077,858205.6907689249,4757968.06583143,25108174.418524005,86416310.1146717,607337.175322831,110618567.10323715,12552076.59554734,6526316.753762292,20578959.6196671,33249730.570793193,19131866.890240002,12056556.111425921,733681.5788401692,12259500.7721898
2030,432011303.3768395,359727502.78086436,16684936.968587875,6357435.937090099,10327501.031497777,72283801.59597516,0.1673192368601584,40057452.4427778,2788542.970254928,0.16712936797452796,0.09272315823606135,4391848.033041084,4233212.188752168,3486804.394919927,4765690.222427281,661353.6053931783,7086512.458034407,2853523.2310872097,12123268.159259494,1412860.863577181,2081968.5623633005,516502.1996952231,7193686.198304975,18707643.94538133,3162547.475297729,893326.4734022128,4946152.015419137,26092656.772354383,90019149.57330726,629148.0826711789,115057537.42049596,13054159.659369234,6662287.012151759,21476458.95799242,34528107.73661576,19897141.565849602,12565263.643362656,762612.1232360387,12749880.803077392
2031,449404804.97888196,366226351.69299555,17393501.602042437,6498848.91213119,10894652.689911246,83178454.2858864,0.1850858143134341,43051044.85664444,2993592.413866639,0.17210981907835715,0.09579569328073262,4583374.829087411,4417458.54114315,3640635.046179284,4947236.77386741,692125.189052358,7422999.510333253,2999493.493262212,12611539.439389944,1466747.1754780014,2186333.579390088,556390.986684773,7496989.49074625,19285427.59785343,3290010.1381399166,929981.4183097231,5142092.6176927835,27118822.91785638,93782832.76091246,651771.5929201494,119689683.20844467,13576326.045744004,6804224.64432908,22412903.577835687,35858754.611534595,20693027.228483588,13094944.935366364,792801.5936445193,13259876.035200488
2032,467539703.9350167,372870096.03759956,18134898.956134737,6643744.344604015,11491154.611530721,94669608.89741713,0.2024846405570194,46264561.54774301,3213516.691098571,0.17720069457632634,0.0989532250595199,4783788.680408941,4609758.967491565,3801096.0615966893,5135879.005509939,724275.7804281777,7773715.740625912,3151810.570057125,13118938.740043376,1522780.2896344766,2295171.076969578,598151.2537305227,7814158.834039227,19881738.730591655,3423001.454414129,968243.8513217968,5346136.9731577495,28188652.22505473,97715185.89247862,675240.4584083476,124524096.52449548,14119379.087573765,6952418.994577998,23390169.468272272,37244016.07006481,21520748.317622934,13646571.00916973,824308.8006686522,13790271.076608507
2033,486450533.4158958,379662319.3328265,18910829.480879128,6792223.295226932,12118606.185652196,106788215.08306932,0.21952533247973574,49713944.744165085,3449383.1964220777,0.1824025328931115,0.10219732805115797,4993544.399783402,4810495.402968368,3968500.6576347575,5331911.370626034,757873.7449282985,8139327.362707712,3310775.671119165,13646327.55993304,1581050.5115003814,2408686.9259027713,641881.6028799061,8145888.762010683,20497278.56964606,3561784.7948548878,1008191.0228846717,5558649.589631932,29304230.666251544,101824460.02708907,699588.9082634937,129570346.60588175,14684154.251076715,7107175.163233085,24410234.414551903,38686355.5809312,22381578.25032785,14221164.070986075,857195.6086182207,14341881.919672849
2034,506173625.0974985,386606709.7207736,19723091.681602657,6944390.3879470825,12778701.293655574,119566916.3767249,0.23621719988609458,53416279.9835828,3702335.239417717,0.1877157648093878,0.10552956008581804,5213122.713722909,5020069.996045682,4143178.6526243165,5535641.818043258,792991.2447220978,8520535.799587293,3476706.0059742066,14194612.314686812,1641652.3289151166,2527097.541210602,687686.4282042251,8492912.563266661,21132780.51464055,3706637.6096081194,1049904.341074219,5780013.363528355,30467757.203350917,106119356.53802776,724852.7243138037,134838507.7245643,15271520.421119785,7268814.955605509,25475184.118537635,40188361.95504718,23276841.380340967,14819800.53224187,891527.1120344821,14915557.196459763
